,KEN
2015-01-01 0:00,235950
2015-01-01 1:00,206290
2015-01-01 2:00,182220
2015-01-01 3:00,169290
2015-01-01 4:00,173330
2015-01-01 5:00,172270
2015-01-01 6:00,189465
2015-01-01 7:00,205830
2015-01-01 8:00,240840
2015-01-01 9:00,279000
2015-01-01 10:00,284270
2015-01-01 11:00,279990
2015-01-01 12:00,273400
2015-01-01 13:00,271280
2015-01-01 14:00,257030
2015-01-01 15:00,227450
2015-01-01 16:00,195570
2015-01-01 17:00,190730
2015-01-01 18:00,258940
2015-01-01 19:00,503320
2015-01-01 20:00,516500
2015-01-01 21:00,432575
2015-01-01 22:00,283450
2015-01-01 23:00,182400
2015-01-02 0:00,166230
2015-01-02 1:00,170220
2015-01-02 2:00,163460
2015-01-02 3:00,151380
2015-01-02 4:00,157730
2015-01-02 5:00,158570
2015-01-02 6:00,176760
2015-01-02 7:00,307580
2015-01-02 8:00,446080
2015-01-02 9:00,489710
2015-01-02 10:00,503110
2015-01-02 11:00,506280
2015-01-02 12:00,513070
2015-01-02 13:00,477110
2015-01-02 14:00,402850
2015-01-02 15:00,419870
2015-01-02 16:00,394780
2015-01-02 17:00,353130
2015-01-02 18:00,378420
2015-01-02 19:00,579640
2015-01-02 20:00,561330
2015-01-02 21:00,516940
2015-01-02 22:00,420610
2015-01-02 23:00,265340
2015-01-03 0:00,189090
2015-01-03 1:00,185230
2015-01-03 2:00,175720
2015-01-03 3:00,177780
2015-01-03 4:00,180700
2015-01-03 5:00,185460
2015-01-03 6:00,185650
2015-01-03 7:00,251990
2015-01-03 8:00,336150
2015-01-03 9:00,400290
2015-01-03 10:00,400850
2015-01-03 11:00,417430
2015-01-03 12:00,414610
2015-01-03 13:00,390400
2015-01-03 14:00,346250
2015-01-03 15:00,341940
2015-01-03 16:00,341880
2015-01-03 17:00,343150
2015-01-03 18:00,395390
2015-01-03 19:00,578180
2015-01-03 20:00,560860
2015-01-03 21:00,519120
2015-01-03 22:00,370680
2015-01-03 23:00,221200
2015-01-04 0:00,175940
2015-01-04 1:00,164410
2015-01-04 2:00,165410
2015-01-04 3:00,171360
2015-01-04 4:00,181460
2015-01-04 5:00,180490
2015-01-04 6:00,185820
2015-01-04 7:00,232480
2015-01-04 8:00,329920
2015-01-04 9:00,373620
2015-01-04 10:00,364780
2015-01-04 11:00,328700
2015-01-04 12:00,314730
2015-01-04 13:00,316700
2015-01-04 14:00,305710
2015-01-04 15:00,285520
2015-01-04 16:00,296540
2015-01-04 17:00,314910
2015-01-04 18:00,368790
2015-01-04 19:00,562080
2015-01-04 20:00,555640
2015-01-04 21:00,518270
2015-01-04 22:00,348790
2015-01-04 23:00,206120
2015-01-05 0:00,170220
2015-01-05 1:00,161180
2015-01-05 2:00,157340
2015-01-05 3:00,158350
2015-01-05 4:00,173350
2015-01-05 5:00,178330
2015-01-05 6:00,212380
2015-01-05 7:00,296190
2015-01-05 8:00,384940
2015-01-05 9:00,440330
2015-01-05 10:00,445150
2015-01-05 11:00,461040
2015-01-05 12:00,461040
2015-01-05 13:00,478600
2015-01-05 14:00,455380
2015-01-05 15:00,431360
2015-01-05 16:00,444850
2015-01-05 17:00,395710
2015-01-05 18:00,381420
2015-01-05 19:00,565250
2015-01-05 20:00,583400
2015-01-05 21:00,544310
2015-01-05 22:00,408120
2015-01-05 23:00,255480
2015-01-06 0:00,170280
2015-01-06 1:00,158100
2015-01-06 2:00,159100
2015-01-06 3:00,164700
2015-01-06 4:00,172500
2015-01-06 5:00,222010
2015-01-06 6:00,311620
2015-01-06 7:00,368470
2015-01-06 8:00,432260
2015-01-06 9:00,448310
2015-01-06 10:00,463090
2015-01-06 11:00,481270
2015-01-06 12:00,484990
2015-01-06 13:00,465210
2015-01-06 14:00,464670
2015-01-06 15:00,446720
2015-01-06 16:00,435560
2015-01-06 17:00,414830
