,KEN
2015-01-01 0:00,9065.75
2015-01-01 1:00,9063.75
2015-01-01 2:00,9067.75
2015-01-01 3:00,9066.75
2015-01-01 4:00,9069.75
2015-01-01 5:00,9068.75
2015-01-01 6:00,9056.75
2015-01-01 7:00,9055.75
2015-01-01 8:00,9054.75
2015-01-01 9:00,9054.75
2015-01-01 10:00,9054.75
2015-01-01 11:00,9050.75
2015-01-01 12:00,9094.75
2015-01-01 13:00,9094.75
2015-01-01 14:00,9094.75
2015-01-01 15:00,9093.75
2015-01-01 16:00,9092.75
2015-01-01 17:00,9090.75
2015-01-01 18:00,9090.75
2015-01-01 19:00,9062.75
2015-01-01 20:00,9064.75
2015-01-01 21:00,9064.75
2015-01-01 22:00,9064.75
2015-01-01 23:00,9064.75
2015-01-02 0:00,8819.541667
2015-01-02 1:00,8819.541667
2015-01-02 2:00,8820.541667
2015-01-02 3:00,8818.541667
2015-01-02 4:00,8817.541667
2015-01-02 5:00,8817.541667
2015-01-02 6:00,8822.541667
2015-01-02 7:00,8831.541667
2015-01-02 8:00,8832.541667
2015-01-02 9:00,8833.541667
2015-01-02 10:00,8833.541667
2015-01-02 11:00,8833.541667
2015-01-02 12:00,8815.541667
2015-01-02 13:00,8813.541667
2015-01-02 14:00,8811.541667
2015-01-02 15:00,8811.541667
2015-01-02 16:00,8809.541667
2015-01-02 17:00,8809.541667
2015-01-02 18:00,8813.541667
2015-01-02 19:00,8813.541667
2015-01-02 20:00,8812.541667
2015-01-02 21:00,8813.541667
2015-01-02 22:00,8813.541667
2015-01-02 23:00,8813.541667
2015-01-03 0:00,8552.458334
2015-01-03 1:00,8552.458334
2015-01-03 2:00,8552.458334
2015-01-03 3:00,8553.458334
2015-01-03 4:00,8553.458334
2015-01-03 5:00,8554.458334
2015-01-03 6:00,8558.458334
2015-01-03 7:00,8556.458334
2015-01-03 8:00,8555.458334
2015-01-03 9:00,8555.458334
2015-01-03 10:00,8555.458334
2015-01-03 11:00,8547.458334
2015-01-03 12:00,8548.458334
2015-01-03 13:00,8549.458334
2015-01-03 14:00,8549.458334
2015-01-03 15:00,8548.458334
2015-01-03 16:00,8547.458334
2015-01-03 17:00,8549.458334
2015-01-03 18:00,8557.458334
2015-01-03 19:00,8557.458334
2015-01-03 20:00,8558.458334
2015-01-03 21:00,8556.458334
2015-01-03 22:00,8554.458334
2015-01-03 23:00,8553.458334
2015-01-04 0:00,8502.875
2015-01-04 1:00,8503.875
2015-01-04 2:00,8503.875
2015-01-04 3:00,8501.875
2015-01-04 4:00,8501.875
2015-01-04 5:00,8501.875
2015-01-04 6:00,8505.875
2015-01-04 7:00,8511.875
2015-01-04 8:00,8507.875
2015-01-04 9:00,8507.875
2015-01-04 10:00,8507.875
2015-01-04 11:00,8507.875
2015-01-04 12:00,8517.875
2015-01-04 13:00,8520.875
2015-01-04 14:00,8521.875
2015-01-04 15:00,8521.875
2015-01-04 16:00,8521.875
2015-01-04 17:00,8521.875
2015-01-04 18:00,8518.875
2015-01-04 19:00,8518.875
2015-01-04 20:00,8517.875
2015-01-04 21:00,8517.875
2015-01-04 22:00,8517.875
2015-01-04 23:00,8517.875
2015-01-05 0:00,8479.125
2015-01-05 1:00,8476.125
2015-01-05 2:00,8476.125
2015-01-05 3:00,8476.125
2015-01-05 4:00,8474.125
2015-01-05 5:00,8474.125
2015-01-05 6:00,8488.125
2015-01-05 7:00,8488.125
2015-01-05 8:00,8488.125
2015-01-05 9:00,8487.125
2015-01-05 10:00,8488.125
2015-01-05 11:00,8488.125
2015-01-05 12:00,8484.125
2015-01-05 13:00,8482.125
2015-01-05 14:00,8480.125
2015-01-05 15:00,8481.125
2015-01-05 16:00,8484.125
2015-01-05 17:00,8484.125
2015-01-05 18:00,8486.125
2015-01-05 19:00,8486.125
2015-01-05 20:00,8485.125
2015-01-05 21:00,8483.125
2015-01-05 22:00,8487.125
2015-01-05 23:00,8488.125
2015-01-06 0:00,7287.333333
2015-01-06 1:00,7286.333333
2015-01-06 2:00,7284.333333
2015-01-06 3:00,7283.333333
2015-01-06 4:00,7283.333333
2015-01-06 5:00,7282.333333
2015-01-06 6:00,8293.333333
2015-01-06 7:00,8347.333333
2015-01-06 8:00,8350.333333
2015-01-06 9:00,8355.333333
2015-01-06 10:00,8359.333333
2015-01-06 11:00,8382.333333
2015-01-06 12:00,8390.333333
2015-01-06 13:00,8379.333333
2015-01-06 14:00,8380.333333
2015-01-06 15:00,8382.333333
2015-01-06 16:00,8383.333333
2015-01-06 17:00,8377.333333
2015-01-06 18:00,8380.333333
2015-01-06 19:00,8354.333333
2015-01-06 20:00,8353.333333
2015-01-06 21:00,8346.333333
2015-01-06 22:00,8347.333333
2015-01-06 23:00,8355.333333
2015-01-07 0:00,8133.25
2015-01-07 1:00,8134.25
2015-01-07 2:00,8134.25
2015-01-07 3:00,8135.25
2015-01-07 4:00,8137.25
2015-01-07 5:00,8143.25
2015-01-07 6:00,8126.25
2015-01-07 7:00,8126.25
2015-01-07 8:00,8127.25
2015-01-07 9:00,8128.25
2015-01-07 10:00,8125.25
2015-01-07 11:00,8124.25
2015-01-07 12:00,8156.25
2015-01-07 13:00,8156.25
2015-01-07 14:00,8158.25
2015-01-07 15:00,8159.25
2015-01-07 16:00,8160.25
2015-01-07 17:00,7902.25
2015-01-07 18:00,7904.25
2015-01-07 19:00,8149.25
2015-01-07 20:00,8148.25
2015-01-07 21:00,8148.25
2015-01-07 22:00,8148.25
2015-01-07 23:00,8149.25
2015-01-08 0:00,8216.041667
2015-01-08 1:00,8217.041667
2015-01-08 2:00,8219.041667
2015-01-08 3:00,8220.041667
2015-01-08 4:00,8220.041667
2015-01-08 5:00,8220.041667
2015-01-08 6:00,8212.041667
2015-01-08 7:00,8216.041667
2015-01-08 8:00,8219.041667
2015-01-08 9:00,5780.041667
2015-01-08 10:00,5532.041667
2015-01-08 11:00,5533.041667
2015-01-08 12:00,5537.041667
2015-01-08 13:00,5530.041667
2015-01-08 14:00,5528.041667
2015-01-08 15:00,5531.041667
2015-01-08 16:00,5784.041667
2015-01-08 17:00,8136.041667
2015-01-08 18:00,8178.041667
2015-01-08 19:00,8182.041667
2015-01-08 20:00,8185.041667
2015-01-08 21:00,8154.041667
2015-01-08 22:00,8156.041667
2015-01-08 23:00,8159.041667
2015-01-09 0:00,8274.25
2015-01-09 1:00,8275.25
2015-01-09 2:00,8278.25
2015-01-09 3:00,8280.25
2015-01-09 4:00,8284.25
2015-01-09 5:00,8285.25
2015-01-09 6:00,8346.25
2015-01-09 7:00,8345.25
2015-01-09 8:00,8345.25
2015-01-09 9:00,8345.25
2015-01-09 10:00,8347.25
2015-01-09 11:00,8347.25
2015-01-09 12:00,8395.25
2015-01-09 13:00,8397.25
2015-01-09 14:00,8399.25
2015-01-09 15:00,8400.25
2015-01-09 16:00,8401.25
2015-01-09 17:00,8401.25
2015-01-09 18:00,8351.25
2015-01-09 19:00,8349.25
2015-01-09 20:00,8349.25
2015-01-09 21:00,8349.25
2015-01-09 22:00,8349.25
2015-01-09 23:00,8349.25
2015-01-10 0:00,8161.75
2015-01-10 1:00,8160.75
2015-01-10 2:00,8157.75
2015-01-10 3:00,8157.75
2015-01-10 4:00,8157.75
2015-01-10 5:00,8155.75
2015-01-10 6:00,7711.75
2015-01-10 7:00,7712.75
2015-01-10 8:00,7715.75
2015-01-10 9:00,7717.75
2015-01-10 10:00,7720.75
2015-01-10 11:00,7673.75
2015-01-10 12:00,7670.75
2015-01-10 13:00,7676.75
2015-01-10 14:00,7677.75
2015-01-10 15:00,7681.75
2015-01-10 16:00,7689.75
2015-01-10 17:00,7692.75
2015-01-10 18:00,7693.75
2015-01-10 19:00,7680.75
2015-01-10 20:00,7683.75
2015-01-10 21:00,7684.75
2015-01-10 22:00,7678.75
2015-01-10 23:00,7683.75
2015-01-11 0:00,7600.208333
2015-01-11 1:00,7598.208333
2015-01-11 2:00,7601.208333
2015-01-11 3:00,7602.208333
2015-01-11 4:00,7606.208333
2015-01-11 5:00,7608.208333
2015-01-11 6:00,7604.208333
2015-01-11 7:00,7606.208333
2015-01-11 8:00,7609.208333
2015-01-11 9:00,7609.208333
2015-01-11 10:00,7609.208333
2015-01-11 11:00,7608.208333
2015-01-11 12:00,7631.208333
2015-01-11 13:00,7635.208333
2015-01-11 14:00,7635.208333
2015-01-11 15:00,7635.208333
2015-01-11 16:00,7635.208333
2015-01-11 17:00,7635.208333
2015-01-11 18:00,7632.208333
2015-01-11 19:00,7631.208333
2015-01-11 20:00,7630.208333
2015-01-11 21:00,7629.208333
2015-01-11 22:00,7628.208333
2015-01-11 23:00,7627.208333
2015-01-12 0:00,7531.25
2015-01-12 1:00,7531.25
2015-01-12 2:00,7529.25
2015-01-12 3:00,7529.25
2015-01-12 4:00,7528.25
2015-01-12 5:00,7525.25
2015-01-12 6:00,7537.25
2015-01-12 7:00,7541.25
2015-01-12 8:00,7544.25
2015-01-12 9:00,7547.25
2015-01-12 10:00,7552.25
2015-01-12 11:00,7557.25
2015-01-12 12:00,5283.25
2015-01-12 13:00,6046.25
2015-01-12 14:00,7610.25
2015-01-12 15:00,7611.25
2015-01-12 16:00,7605.25
2015-01-12 17:00,7567.25
2015-01-12 18:00,7574.25
2015-01-12 19:00,7582.25
2015-01-12 20:00,7587.25
2015-01-12 21:00,7570.25
2015-01-12 22:00,7575.25
2015-01-12 23:00,7577.25
2015-01-13 0:00,7106.583333
2015-01-13 1:00,7100.583333
2015-01-13 2:00,7106.583333
2015-01-13 3:00,7105.583333
2015-01-13 4:00,7108.583333
2015-01-13 5:00,7112.583333
2015-01-13 6:00,7108.583333
2015-01-13 7:00,7109.583333
2015-01-13 8:00,7109.583333
2015-01-13 9:00,7108.583333
2015-01-13 10:00,7108.583333
2015-01-13 11:00,7108.583333
2015-01-13 12:00,7158.583333
2015-01-13 13:00,7158.583333
2015-01-13 14:00,7158.583333
2015-01-13 15:00,7158.583333
2015-01-13 16:00,7158.583333
2015-01-13 17:00,7158.583333
2015-01-13 18:00,7168.583333
2015-01-13 19:00,7163.583333
2015-01-13 20:00,7162.583333
2015-01-13 21:00,7162.583333
2015-01-13 22:00,7162.583333
2015-01-13 23:00,7162.583333
2015-01-14 0:00,7654.541667
2015-01-14 1:00,7657.541667
2015-01-14 2:00,7661.541667
2015-01-14 3:00,7658.541667
2015-01-14 4:00,7662.541667
2015-01-14 5:00,7660.541667
2015-01-14 6:00,7624.541667
2015-01-14 7:00,7626.541667
2015-01-14 8:00,7626.541667
2015-01-14 9:00,7629.541667
2015-01-14 10:00,7634.541667
2015-01-14 11:00,7581.541667
2015-01-14 12:00,7586.541667
2015-01-14 13:00,7548.541667
2015-01-14 14:00,7552.541667
2015-01-14 15:00,7557.541667
2015-01-14 16:00,7549.541667
2015-01-14 17:00,7553.541667
2015-01-14 18:00,7556.541667
2015-01-14 19:00,7560.541667
2015-01-14 20:00,7559.541667
2015-01-14 21:00,7563.541667
2015-01-14 22:00,7510.541667
2015-01-14 23:00,7513.541667
2015-01-15 0:00,7593.958333
2015-01-15 1:00,7594.958333
2015-01-15 2:00,7596.958333
2015-01-15 3:00,7596.958333
2015-01-15 4:00,7599.958333
2015-01-15 5:00,7602.958333
2015-01-15 6:00,7580.958333
2015-01-15 7:00,7577.958333
2015-01-15 8:00,7576.958333
2015-01-15 9:00,7574.958333
2015-01-15 10:00,7574.958333
2015-01-15 11:00,7574.958333
2015-01-15 12:00,7574.958333
2015-01-15 13:00,7596.958333
2015-01-15 14:00,7594.958333
2015-01-15 15:00,7594.958333
2015-01-15 16:00,7592.958333
2015-01-15 17:00,7592.958333
2015-01-15 18:00,6972.958333
2015-01-15 19:00,6971.958333
2015-01-15 20:00,6970.958333
2015-01-15 21:00,6970.958333
2015-01-15 22:00,6970.958333
2015-01-15 23:00,6970.958333
2015-01-16 0:00,6536.041667
2015-01-16 1:00,6538.041667
2015-01-16 2:00,6531.041667
2015-01-16 3:00,4464.041667
2015-01-16 4:00,1363.041667
2015-01-16 5:00,1363.041667
2015-01-16 6:00,1363.041667
2015-01-16 7:00,5327.041667
2015-01-16 8:00,6590.041667
2015-01-16 9:00,6595.041667
2015-01-16 10:00,6565.041667
2015-01-16 11:00,6570.041667
2015-01-16 12:00,6497.041667
2015-01-16 13:00,6503.041667
2015-01-16 14:00,6504.041667
2015-01-16 15:00,6491.041667
2015-01-16 16:00,6495.041667
2015-01-16 17:00,6498.041667
2015-01-16 18:00,6494.041667
2015-01-16 19:00,6498.041667
2015-01-16 20:00,6477.041667
2015-01-16 21:00,6480.041667
2015-01-16 22:00,6474.041667
2015-01-16 23:00,6477.041667
2015-01-17 0:00,6973.458333
2015-01-17 1:00,6976.458333
2015-01-17 2:00,6977.458333
2015-01-17 3:00,6979.458333
2015-01-17 4:00,6983.458333
2015-01-17 5:00,6984.458333
2015-01-17 6:00,6976.458333
2015-01-17 7:00,6974.458333
2015-01-17 8:00,6975.458333
2015-01-17 9:00,6978.458333
